"","iso3c","undisc_exwelf_total_low","undisc_exwelf_total_med","undisc_exwelf_total_high"
"1","AFG",55506969.5106612,59768908.4416468,63266394.1172963
"2","AGO",373562451.975684,408651649.857942,451723649.759261
"3","ALB",506113272.614303,614247454.936098,678898745.54582
"4","ARE",17386361210.5997,19222955739.9204,22152653098.7818
"5","ARG",16096391926.9555,18684682242.0854,21936737933.9712
"6","ARM",211207424.400334,239939329.664668,261661048.66085
"7","ATG",89972554.4706309,104031270.24371,158556757.454869
"8","AUS",110058066610.137,135591191117.729,206147594482.541
"9","AUT",32645466611.216,34750755832.325,37857958396.7687
"10","AZE",2361080430.92757,2609812598.88526,2752234273.60595
"11","BDI",210.045782278826,446.036401973742,852.895724154438
"12","BEL",81963484514.4978,125043868472.586,165155398755.798
"13","BEN",20792347.4421567,24947044.3295677,29593571.2660125
"14","BFA",11159003.0246975,12648352.4346684,16016992.973116
"15","BGD",3291736429.68832,3883153425.63744,4846086866.52076
"16","BGR",2978329726.53957,3530573647.61224,3842593155.68353
"17","BHR",1375085508.27044,1543468503.52348,1851166932.21873
"18","BHS",425968420.455268,499998354.461714,551258421.375198
"19","BIH",567415216.43391,672016460.00539,759599552.909839
"20","BLR",1787066054.6685,2058508605.45866,2477496296.12323
"21","BLZ",58076397.2846812,71226508.3141396,78427795.2274561
"22","BOL",489031902.783423,558038812.815817,604291175.553562
"23","BRA",95703795714.4451,107658971494.626,115046115321.323
"24","BRB",134463036.876392,193887353.70386,261620261.054088
"25","BRN",863324677.705108,1032548543.87722,1333628788.34146
"26","BTN",109570455.596578,118766467.882432,127924401.276406
"27","BWA",145588617.674739,188858513.168183,222011678.772425
"28","CAF",4670340.24209572,5670571.48786661,6801586.48772423
"29","CAN",244810702626.72,268367611083.143,382718048132.932
"30","CHE",50055816959.2997,62998863320.2651,92991519070.6952
"31","CHL",36903768545.9995,39211600563.2952,44076583720.5772
"32","CIV",300862242.156976,336312916.554092,369535453.502277
"33","CMR",81552027.2904161,96158160.2641029,109901573.040765
"34","COD",2396589.37389108,2762410.07424168,3200173.20713791
"35","COG",50573307.075984,56034277.8167119,63068828.0862282
"36","COL",8273905534.85862,9907921873.14635,12267460735.5937
"37","COM",17149603.9603062,19971881.7743244,22558760.8671003
"38","CPV",37218312.9398475,41837864.7042844,45285258.9126457
"39","CRI",3491430769.59797,4002627586.72788,4399562842.11886
"40","CYP",2589134895.7292,3279103480.36393,3942396857.55361
"41","CZE",19382834465.5357,23042946772.0426,26064565469.8359
"42","DEU",504430593672.314,541502457726.869,587943922854.751
"43","DJI",9194678.36226515,11217156.3900983,13021957.6023727
