"","iso3c","disc_welf_total_low","disc_welf_total_med","disc_welf_total_high"
"1","AFG",48894459.9831065,52992637.3790925,56170494.1639455
"2","AGO",291023635.972175,317688884.598991,352397678.975476
"3","ALB",379410766.048092,460054945.022678,509883887.180199
"4","ARE",11627512675.8657,12911546295.4037,14845573486.7955
"5","ARG",11954727094.2579,13905761295.31,16350977467.8203
"6","ARM",162847376.433666,185192631.578692,201544795.031325
"7","ATG",65343638.6280015,75574926.7191091,113117266.47801
"8","AUS",75277723873.9813,93537339696.206,140515157755.499
"9","AUT",24005503670.1849,25509848775.9473,27804375303.1668
"10","AZE",1772865914.54686,1965057281.20485,2068359420.19641
"11","BDI",188.301257591587,385.289301942893,742.433857252892
"12","BEL",59863901922.303,89803616053.5185,118726568960.178
"13","BEN",16711865.6908016,20021811.7550326,23815679.8024503
"14","BFA",9392541.37312588,10688508.6031298,13561936.1142969
"15","BGD",2516871965.35189,2961457012.39636,3695379835.84074
"16","BGR",2413956780.64557,2877390149.78754,3138538972.82562
"17","BHR",946293783.640943,1060393174.29884,1277478212.17113
"18","BHS",315520476.629928,370307995.904172,407687238.055025
"19","BIH",438580915.544637,521435483.761134,593509644.364073
"20","BLR",1393044899.63479,1603552157.3027,1936735480.79408
"21","BLZ",62221059.3630056,76761917.9106479,84254611.0902602
"22","BOL",379475992.129055,433237000.212226,472900003.840155
"23","BRA",69254322818.0814,78147928048.3428,83428583935.331
"24","BRB",104874726.903721,149494465.377492,199825596.09312
"25","BRN",617015771.489033,742355754.679803,949144438.93131
"26","BTN",82258026.5163236,89404930.3150615,96219643.6076916
"27","BWA",115079644.714429,148849395.271653,174356760.283429
"28","CAF",4068950.78408394,4943549.78346496,5967312.58070705
"29","CAN",176693265214.938,193795246132.333,272313252388.971
"30","CHE",34937527377.2081,43993715963.5837,64622870767.1699
"31","CHL",26341937826.0137,28001481876.4935,31247529042.2822
"32","CIV",232356330.192311,261236299.659044,288822718.613001
"33","CMR",64304188.7753532,76148899.6756311,87316016.4260881
"34","COD",2020386.02544222,2330110.73476115,2715586.11886767
"35","COG",39212836.9384902,43888783.4214326,49191262.9780705
"36","COL",5980943057.63543,7148712431.05866,8922760355.09358
"37","COM",13023290.753931,15149372.9783178,17129538.3228802
"38","CPV",27909074.4086804,31445723.0287979,33998458.9897306
"39","CRI",2441027298.36041,2799401995.60977,3066800396.56718
"40","CUB",0,0,0
"41","CYP",1808384928.1202,2293966981.77456,2757573020.54491
"42","CZE",15211112351.9143,18149037175.7146,20594860145.8431
"43","DEU",367147364863.167,395238790538.526,430230375445.425
"44","DJI",7501082.29162402,9103121.34192812,10573443.0870764
"45","DNK",27317630299.0893,29760327258.0887,32736111846.1124
"46","DOM",1320617534.14541,1623962844.6403,1985602161.70098
"47","DZA",456010258.020944,573789086.830563,759235214.95258
"48","ECU",2391723420.4661,2931050117.40671,3726568139.70862
"49","EGY",2401627302.23509,2791242200.64679,3175297826.4925
"50","ERI",0,0,0
"51","ESP",140106814638.633,155942803724.021,177526180512.61
"52","EST",2360017545.52866,2684919647.51374,2946765981.43753
"53","ETH",147893672.753199,174619456.764837,193654892.069193
"54","FIN",21892111225.5533,23636574303.2253,25518387615.592
"55","FJI",147289696.749467,169904966.456418,196932838.463082
"56","FRA",247866776015.642,292621427410.756,376621790412.891
"57","FSM",24.2483165087634,3792.49916208418,803633.442768177
"58","GAB",80742556.8295306,93828605.333775,104891147.821492
"59","GBR",194501345117.28,258555654000.295,397103049571.444
"60","GEO",496246172.694791,535107582.907287,616876458.709109
"61","GHA",184378850.381858,203980868.105866,226971095.911565
"62","GIN",53758670.0591291,62244249.0473031,73478446.4746499
"63","GMB",5737519.90311183,6429186.87714533,7151542.40887643
"64","GNB",3372551.85672234,4022363.52644955,5042720.83014506
"65","GNQ",65095253.4027926,112635911.969742,133226650.594142
"66","GRC",18303399728.5985,19912306088.3472,21332779862.5283
"67","GRD",2495374.90364101,3450941.64051336,14405892.221042
"68","GTM",1406463191.12271,1608580205.72044,1894769469.13963
"69","GUY",233388529.032368,262411917.728516,281221221.100778
"70","HND",227382068.775069,288825239.345612,321564517.553681
"71","HRV",3775551346.84655,4405198100.8794,4843719619.06218
"72","HTI",1864525.46447578,2307150.89659516,2842928.56588559
"73","HUN",8363032845.24456,9855492302.47668,12966281101.6894
"74","IDN",21910275312.5989,26440263069.1323,30434581651.5829
"75","IND",53144991298.3624,59776353961.3974,62643664280.5517
"76","IRL",39761648810.3787,42194186444.1767,43897950902.3227
"77","IRN",4292405927.15488,4918587061.25414,5960782743.3806
"78","IRQ",578118400.486629,728080382.809728,894144939.554852
"79","ISL",1926955769.94269,2963664512.47152,3678226620.86232
"80","ISR",21338473886.825,23722761149.4561,26317719688.461
"81","ITA",176503258627.86,194599095734.743,212863685183.509
"82","JAM",97086638.8335673,117669120.56829,136788669.244013
"83","JOR",658968218.464774,738377313.133746,802176001.069339
"84","JPN",123119199935.987,153444256712.182,185638724194.266
"85","KAZ",4697651645.65445,5185473890.41125,5759964300.68382
"86","KEN",275666862.58813,317131545.428781,351132767.711541
"87","KGZ",28726749.8481439,37765225.6730397,49312843.6737758
"88","KHM",702899878.243901,746307543.685482,796466481.921854
"89","KOR",158989789593.831,181494180495.417,205667143758.446
"90","KWT",4087575747.28814,4593732562.93567,5365252914.34256
"91","LAO",357012358.570984,377580210.744885,401880720.708539
"92","LBN",371317030.154407,434599633.277509,498124799.342018
"93","LBR",5997698.85013005,6875179.94961742,8198371.36404373
"94","LBY",421998223.229857,481957923.000021,547025037.389171
"95","LCA",35819953.7624478,39804299.051634,45643685.5441585
"96","LKA",2674542868.77483,2866663962.83103,3197004230.19841
"97","LSO",9303227.29103904,10909580.6378526,12548621.6517484
"98","LTU",5011376023.90495,5514331570.35902,5718605741.05743
"99","LUX",5295126839.01504,6186451579.57763,8144969722.40405
"100","LVA",2382453512.23279,2781996971.70084,2981186824.44733
"101","MAR",2859575582.31202,3231291197.51114,3669779404.59968
"102","MDA",345542157.484698,394558617.499639,427408162.82122
"103","MDG",12680662.3072312,15450520.5897169,17690978.8890446
"104","MDV",215892785.12998,238200727.832873,275473441.842778
"105","MEX",28575964544.5865,33670111999.0962,37555732064.1741
"106","MKD",379970944.687969,450714139.848182,520791831.006042
"107","MLI",15490816.5187107,20218829.5757842,24418414.620762
"108","MLT",1335652502.62713,1518977430.98247,1770096226.74347
"109","MMR",464289818.717096,558295795.923527,675800509.940247
"110","MNE",165492679.092014,194732396.252163,237013194.124667
"111","MNG",344657289.553601,372112563.26448,406146662.28043
"112","MOZ",34832454.8808316,44437502.2052623,57255079.780329
"113","MRT",51546932.2024378,67049082.3885543,79587619.5584316
"114","MUS",427193204.648437,482939108.979636,537110348.611023
"115","MWI",30701101.4530365,33789384.4945524,36386236.2520456
"116","MYS",16587970211.8228,18617739185.0639,21892541579.0657
"117","NAM",47889174.0489016,62820664.539807,74289419.7641288
"118","NER",25018449.1399316,30895814.7791257,40910899.1366811
"119","NGA",948454306.376663,1034916724.40551,1106827441.35948
"120","NIC",42928287.9376544,52428817.4704389,62110349.7848652
"121","NLD",63156436968.6674,70097732899.8814,79598917410.5086
"122","NOR",35763385592.752,39632794849.7884,42761831202.0371
"123","NPL",353816550.126969,400151505.000843,509572395.146193
"124","NZL",15173452671.6776,21140525385.9403,26279898114.5075
"125","OMN",871985498.531097,1307137667.56706,2576572989.31365
"126","PAK",2410061941.91778,2838047772.20216,3443328281.4073
"127","PAN",2061774128.90784,2564365440.96731,3144990391.48046
"128","PER",2573851637.43601,3618977793.19549,4818231480.86755
"129","PHL",5220535235.68223,6237905618.41729,7576601098.61852
"130","PNG",18895335.7497378,23650601.3583428,29484968.5680235
"131","POL",29500976701.9859,32529926251.5724,34929685086.194
"132","PRK",0,0,0
"133","PRT",31219658752.2085,33724732432.9751,44239759888.43
"134","PRY",217569760.654703,268572366.194961,298828291.612562
"135","QAT",6161013043.64533,8346109642.89763,10654665883.4365
"136","ROU",9406910625.63085,11095989978.8647,12465770262.5726
"137","RUS",69356126470.0617,74565703561.2736,80174849220.7916
"138","RWA",78502573.1289422,91081280.7331651,106720162.437284
"139","SAU",29193257568.5592,33022412841.076,37484946938.2121
"140","SDN",31783907.5908206,42828138.1507331,54736164.5309635
"141","SEN",87291283.4641927,99712205.5999006,114967164.184671
"142","SGP",77060777906.3204,92097621926.4678,96520182719.1202
"143","SLB",448374.192494833,6240322.61835652,22376751.6084559
"144","SLE",6706488.13552117,8892454.21583813,10653879.5093292
"145","SLV",842207311.369425,978367176.800355,1040694328.85371
"146","SOM",7544923.19704884,8743947.19506858,10253797.0049417
"147","SRB",2784996434.92187,3292516951.62115,3830158424.73905
"148","SSD",3236229.00821119,4249762.11177634,5169930.81828218
"149","STP",5768932.52357671,6913338.0413446,9109867.51627407
"150","SUR",74329119.9770093,85001391.7586262,90245210.8075216
"151","SVK",4769033036.20983,5616576696.12282,6061817319.54941
"152","SVN",3168540755.97162,3543932287.15764,3975035894.05044
"153","SWE",25897760098.7777,29160579777.7952,33267291304.7209
