"","iso3c","undiscmonqalys_pgdp_low","undiscmonqalys_pgdp_med","undiscmonqalys_pgdp_high"
"1","AFG",0.159097967469718,0.170965945968105,0.180154778407249
"2","AGO",0.377622015135745,0.407659429909159,0.444788990210543
"3","ALB",2.41325533790098,2.93740208365304,3.25583922236331
"4","ARE",3.22846252833035,3.55960200828869,4.16230837275951
"5","ARG",2.68105659512666,3.11723485464896,3.65953436929347
"6","ARM",1.2989202474181,1.47463837758483,1.6007734873353
"7","ATG",4.87680762929466,5.65879044353607,8.92418533192717
"8","AUS",6.017357208173,7.50254513418434,11.9007764687642
"9","AUT",5.94973857601515,6.33214291774675,6.89613066275684
"10","AZE",3.60183587670713,3.99504311829694,4.20670888231082
"11","BDI",1.4782349513635e-06,5.15951324536431e-06,9.05455683786964e-06
"12","BEL",12.2587720374512,19.1631146244066,25.566718981923
"13","BEN",0.0781357020792932,0.0928274408300236,0.108996671454127
"14","BFA",0.0291219636179652,0.0328232467337561,0.0409259531906402
"15","BGD",0.600346559917196,0.702850807443835,0.872857202353679
"16","BGR",3.07548287113991,3.65062437134015,3.97306894879293
"17","BHR",2.91880205022324,3.28147947449784,3.96069251684391
"18","BHS",3.22220088247242,3.79503453881503,4.17763531871029
"19","BIH",2.06265518211055,2.45002600336213,2.77398575911337
"20","BLR",2.16316793430506,2.50522585367178,3.02643543599989
"21","BLZ",1.87731288588098,2.33060446757422,2.57538429614617
"22","BOL",0.88613911780629,1.01500871427207,1.10351297893633
"23","BRA",4.84058371918489,5.48352045814272,5.85629132526135
"24","BRB",2.19941654524439,3.25557422118142,4.4510268438184
"25","BRN",5.26619389286217,6.20543672774286,8.01093448988543
"26","BTN",2.85646397972233,3.07386491381163,3.31567792824797
"27","BWA",0.623802602996888,0.812780835880598,0.954946801874147
"28","CAF",0.0779114527962829,0.0942995536244292,0.108635015648804
"29","CAN",10.8338829899234,11.8783783756858,17.4148398416405
"30","CHE",5.49716895165522,6.97034723841503,10.3858283755577
"31","CHL",10.0110082706631,10.6642623197714,12.1397447362138
"32","CIV",0.286627336298216,0.321250128985751,0.348250362891648
"33","CMR",0.122621377865781,0.146229157241537,0.167497061021317
"34","COD",0.00202223473592595,0.00231887086791011,0.00265216975102874
"35","COG",0.234041006222145,0.260844393215485,0.29328860453877
"36","COL",2.15925111961455,2.59576058313649,3.19473547831412
"37","COM",0.886941146307425,1.03671441019731,1.1688536502531
"38","CPV",1.37671121772985,1.5695793847587,1.70877499167784
"39","CRI",4.68245197663082,5.40291329635592,5.97250682760563
"40","CUB",NA,NA,NA
"41","CYP",7.64494774343162,9.76681922561377,11.8300528823716
"42","CZE",6.01564173362871,7.19492358061662,8.15491708841192
"43","DEU",10.5176650833989,11.3032253754179,12.2965137757148
"44","DJI",0.230194611498585,0.280662530599181,0.321846811563787
"45","DNK",8.21235638979199,8.97583256839926,9.89966339464073
"46","DOM",1.47609094201205,1.84902490331947,2.30735418790222
"47","DZA",0.217386586270606,0.273548563012329,0.36170714020555
"48","ECU",2.54286050532162,3.08469176270481,3.96253048890221
"49","EGY",0.544912231761923,0.634547925930282,0.717449092568326
"50","ERI",NA,NA,NA
"51","ESP",11.8427271157241,13.16061529674,15.1205754650106
"52","EST",7.49880098559489,8.531487797592,9.3578697601221
"53","ETH",0.0852812881527135,0.102721564541448,0.115809335347901
"54","FIN",9.29372841042776,9.95355045683639,10.8659357190037
"55","FJI",3.94253514698941,4.5875951319751,5.40176032311067
"56","FRA",10.184685282601,12.1574741640302,16.084484009212
"57","FSM",4.67344258814094e-06,0.000717389124866883,0.15717397633024
"58","GAB",0.428865778063544,0.501295230398739,0.556322181078076
"59","GBR",7.65241623329913,10.4170083956055,16.3289069998703
"60","GEO",2.86069458908827,3.06950940453593,3.53957520210777
"61","GHA",0.207525275057706,0.232092059852353,0.257975996896939
"62","GIN",0.181446582069301,0.207627145095673,0.241009284459295
"63","GMB",0.178812341759202,0.199373089463618,0.221243791533142
"64","GNB",0.122886063066784,0.144171884036151,0.173149534107086
"65","GNQ",0.475629839915088,0.940218099529301,1.14390185129909
"66","GRC",9.93391978936439,10.7822662829915,11.5280981221203
"67","GRD",0.236772163630257,0.327633050708511,1.50910545234628
"68","GTM",1.93614277874595,2.20244709829302,2.63545357185808
"69","GUY",2.84215164264933,3.18560196696875,3.41631357782362
"70","HND",0.77536087321598,0.99435897331737,1.10299405807307
"71","HRV",6.27505701280277,7.31677449928388,8.02011973697338
"72","HTI",0.0072207401954805,0.00885794698375775,0.0106535292764611
"73","HUN",4.86461144316547,5.87806721805476,7.88953437719752
"74","IDN",1.26909452922604,1.53443976268865,1.75704485253044
"75","IND",1.63694766849254,1.84482539170476,1.93306278050954
"76","IRL",9.63506951459171,10.2123666199339,10.6206683686849
"77","IRN",1.34092653731234,1.53400053069405,1.86238289040807
"78","IRQ",0.289095669468576,0.374289559033494,0.458740504651494
"79","ISL",9.44988471537754,14.6638783840053,18.3820196624125
"80","ISR",5.48470338988722,6.06907779511717,6.67912746063799
"81","ITA",9.95526376042008,10.8933457236512,11.8694386674502
"82","JAM",0.707045409709708,0.87622066450645,1.02770083165313
"83","JOR",2.49892976511466,2.78642167842277,2.99312930662226
"84","JPN",2.91603718509468,3.67087213720445,4.47807888016663
"85","KAZ",2.76870356044576,3.02959496864959,3.37714966911983
"86","KEN",0.236084534051122,0.269573977457841,0.297556279117421
"87","KGZ",0.252307301725481,0.35292923586554,0.484893122052453
"88","KHM",2.37519247485923,2.50918177428007,2.65338124844191
"89","KOR",10.8876007273731,12.4661100134503,14.1348756918884
"90","KWT",3.89759606282529,4.37362354759089,5.02510909472114
"91","LAO",1.8110540600273,1.91491091243381,2.03247476339696
"92","LBN",2.43184402536491,2.8734982167575,3.29058287937897
"93","LBR",0.106712384060317,0.121534240236016,0.138126035270605
"94","LBY",1.20512101982811,1.39623598361918,1.59721122522347
"95","LCA",2.0823407276182,2.31315433169066,2.64628129256781
"96","LKA",2.84217610743394,3.02639741428473,3.35668741100249
"97","LSO",0.273619355120923,0.320324098814494,0.368433702072186
"98","LTU",8.52513593796877,9.36576223371331,9.70510904392954
"99","LUX",7.69378518724355,9.05494319277284,12.2800679562412
"100","LVA",6.99820034331424,8.15947292910623,8.70037808607721
"101","MAR",2.06061830317835,2.39394208680891,2.7739166380027
"102","MDA",2.94857923480215,3.35199307671882,3.60436909491661
"103","MDG",0.0449828446346764,0.05755035137641,0.0661368506632874
"104","MDV",5.00645867420178,5.53231625839908,6.56169656637945
"105","MEX",2.60568671537876,3.0832056974323,3.46063430451091
"106","MKD",2.95517738048105,3.52321271571718,4.08553074643175
"107","MLI",0.0462218050245478,0.0652932968926789,0.079014964422273
"108","MLT",8.98193551389844,10.1885429936096,11.9928802093722
"109","MMR",0.621404858733763,0.749387457710592,0.896017118192768
"110","MNE",3.18407549275031,3.74782284706927,4.54181723547986
"111","MNG",2.23232255714115,2.39166085158419,2.59386798651627
"112","MOZ",0.114127510231934,0.143755608100428,0.182311961494286
"113","MRT",0.523841316842552,0.686692166545566,0.820712606019128
"114","MUS",4.23685711676021,4.76070526445977,5.266587079858
"115","MWI",0.162944443261755,0.17436220742946,0.183280148297225
"116","MYS",5.13368774936072,5.85859163288014,7.09169441540103
"117","NAM",0.382099128429024,0.510803494589848,0.601776356382948
"118","NER",0.113612007945775,0.148046645757769,0.223919564861113
"119","NGA",0.197964129365355,0.215533992232959,0.227886554932896
