"","iso3c","undiscqaly_pp_low","undiscqaly_pp_med","undiscqaly_pp_high"
"1","AFG",0.0776849990269175,0.0834799435680797,0.0879667038356444
"2","AGO",0.116291109107123,0.125541322650566,0.136975607663202
"3","ALB",0.11886453529533,0.144681305854954,0.160365880097518
"4","ARE",0.0500066788355867,0.055135803141274,0.0644713129499765
"5","ARG",0.0697203649194636,0.0810630972881529,0.0951654926368333
"6","ARM",0.115897201017177,0.131575792135282,0.142830298483252
"7","ATG",0.116899167878038,0.135643630901478,0.213916545123712
"8","AUS",0.119965233310597,0.149574729621042,0.237260208470494
"9","AUT",0.136799508288936,0.145591949376571,0.158559451261341
"10","AZE",0.137981979318532,0.153045273520195,0.161153933123893
"11","BDI",0.000650140983802081,0.00226920017970551,0.00398227527027055
"12","BEL",0.239339843393734,0.374139990459862,0.499163741566508
"13","BEN",0.0349903095756919,0.0415694849515215,0.048810302786165
"14","BFA",0.0833067115290781,0.0938946556958795,0.117073375313263
"15","BGD",0.0741127386625065,0.086766880479837,0.107754157426416
"16","BGR",0.19881068033319,0.235989971434323,0.256833991218889
"17","BHR",0.0554231681326976,0.062309805704426,0.0752069251377182
"18","BHS",0.136532099876492,0.160804386066288,0.177016065535943
"19","BIH",0.150237334541794,0.178452210284891,0.202048422887463
"20","BLR",0.118060576179969,0.136729286272665,0.165175669294678
"21","BLZ",0.111263114543895,0.138128446133014,0.152635865918638
"22","BOL",0.0721758032964107,0.0826721987928969,0.0898808483931022
"23","BRA",0.130266114063469,0.147568339462595,0.157600066029611
"24","BRB",0.0655275335535296,0.0969937911378069,0.13261008310891
"25","BRN",0.0960301215909058,0.113157406584957,0.146081027165213
"26","BTN",0.113583630450275,0.122228300060127,0.131843684768208
"27","BWA",0.0389415099431345,0.0507386677291428,0.0596135222932567
"28","CAF",0.0515894335872052,0.0624408913504779,0.071933184710507
"29","CAN",0.210660826067633,0.230970650439298,0.338625084864558
"30","CHE",0.123379524540575,0.156443823306433,0.23310154339544
"31","CHL",0.177241858653904,0.188807523041221,0.214930490761443
"32","CIV",0.159157620200365,0.178382867031342,0.193375480886026
"33","CMR",0.158832671470555,0.189412059265749,0.216960583289176
"34","COD",0.128882324444016,0.147787723270871,0.169029735401206
"35","COG",0.29713845740485,0.331168037062643,0.37235920719104
"36","COL",0.0750839048122936,0.0902627020865065,0.111090929802095
"37","COM",0.0870664176384444,0.101768883071692,0.114740307736138
"38","CPV",0.0926371052168945,0.105614953041438,0.114981244183571
"39","CRI",0.127030058037915,0.14657542523346,0.162027906047739
"40","CUB",0.187001477644523,0.262933848253188,0.314826739951216
"41","CYP",0.127220566539843,0.162530904968237,0.19686544374155
"42","CZE",0.14416372838588,0.172424997159446,0.195431061921639
"43","DEU",0.223235693050798,0.239909079665746,0.26099146084839
"44","DJI",0.111847049066944,0.136368421601269,0.156379056358735
"45","DNK",0.159004460629097,0.17378659041264,0.191673444716923
"46","DOM",0.0506470049566786,0.0634429565130946,0.079168956102532
"47","DZA",0.0508726516061145,0.0640156367613061,0.0846464431996511
"48","ECU",0.0673163555103598,0.081660085916452,0.104898837570268
"49","EGY",0.101359182063069,0.118032327048608,0.133452781853479
"50","ERI",NA,NA,NA
