"","iso3c","undiscvsly_pp_low","undiscvsly_pp_med","undiscvsly_pp_high"
"1","AFG",84.8803346148084,91.3826926057581,96.3472862622222
"2","AGO",522.144963454637,561.717715117735,613.137623579654
"3","ALB",2378.81948118401,2899.63275328214,3218.60249647485
"4","ARE",6064.14840008603,6709.42802745621,7905.73997770846
"5","ARG",2073.68104799052,2414.79173789249,2832.99258661983
"6","ARM",1846.19074346794,2096.49587350358,2272.91781555546
"7","ATG",5982.02173102891,6952.9594608767,11052.6337627412
"8","AUS",20022.1794762419,25279.0806712303,40483.1795983518
"9","AUT",24171.4565226923,25757.5988590076,28094.5531824905
"10","AZE",2234.76493120691,2482.30286975047,2611.99669488835
"11","BDI",0.303921951465259,1.26589871466425,2.14620208900838
"12","BEL",39897.7970942767,62804.1493140977,83987.1580921339
"13","BEN",129.261873643736,153.130680138242,178.902349892165
"14","BFA",190.457203103008,214.639018826413,266.102656206884
"15","BGD",535.525040275723,625.567532971376,776.947622280209
"16","BGR",8601.59830124681,10216.916290058,11121.6939674617
"17","BHR",3982.23772254709,4486.22523212198,5430.51263748482
"18","BHS",12109.3258484522,14283.6486924997,15713.4621934229
"19","BIH",3814.75993093678,4536.53226144396,5143.32740288736
"20","BLR",3050.97620406241,3537.31733526287,4280.99492409681
"21","BLZ",1874.96517138446,2334.29630046344,2585.50521149583
"22","BOL",689.585499582286,790.811457748601,861.808649092154
"23","BRA",3116.65799325285,3540.78888517102,3776.78000926417
"24","BRB",3759.63207637339,5580.63561612731,7677.72248664022
"25","BRN",8943.02855316229,10585.9539605391,13619.6410012526
"26","BTN",1070.7272325891,1152.80605059597,1245.99019242856
"27","BWA",890.990917185587,1161.1970801013,1362.08551906593
"28","CAF",79.0592612349049,95.5429214283348,109.317776806725
"29","CAN",32546.2329350432,35720.2733784994,52714.5229325874
"30","CHE",35768.5678084717,45548.5930436952,68043.6069291189
"31","CHL",7744.09899488663,8259.32013885562,9436.84832029801
"32","CIV",1087.09312732104,1220.0077616087,1324.4800172298
"33","CMR",717.564328896576,858.581007761112,985.004815187972
"34","COD",196.453890185991,225.04439557813,257.622115735332
"35","COG",1893.89662094793,2119.19059099929,2380.5097048449
"36","COL",1311.51550826629,1578.20693611426,1947.21253200981
"37","COM",367.925487739469,431.555718921558,486.072472839527
"38","CPV",884.14717447366,1013.85669945161,1104.93637825234
"39","CRI",4474.78457522995,5175.02854544926,5724.61121756803
"40","CUB",0,0,0
"41","CYP",11165.018748394,14297.504663241,17348.7578793053
"42","CZE",12355.0192705382,14815.0764076309,16803.1980614596
"43","DEU",39727.3742216666,42755.1994525771,46514.2775971809
"44","DJI",1113.72858633958,1356.67689858308,1552.48696939113
"45","DNK",36387.116831363,39824.7764531561,43976.9417450239
"46","DOM",1172.64895106429,1474.7066633272,1849.55100650133
"47","DZA",494.788514620592,632.132161507369,833.095352334932
"48","ECU",1062.75115478965,1294.56056306961,1658.97830810528
"49","EGY",1023.9684754129,1194.24644216097,1351.32950890243
"50","ERI",NA,NA,NA
"51","ESP",21793.4715567397,24246.1176753958,27899.57223085
"52","EST",16926.4037491678,19270.1152713284,21145.3362191299
"53","ETH",759.696687451296,921.362107088561,1038.83701392055
"54","FIN",33202.6724633577,35579.3762930909,38949.0058724256
"55","FJI",1557.23245711533,1819.43219683122,2154.6554626268
"56","FRA",30725.1888168816,36759.2411869887,48820.9280238049
"57","FSM",NA,NA,NA
"58","GAB",2125.93773322076,2500.22263741588,2782.07569168679
"59","GBR",23733.7050228311,32451.1834715383,50968.3900019053
"60","GEO",2989.6472741829,3208.31019155388,3702.29127172363
"61","GHA",987.35367264715,1106.1113361192,1228.48941727741
"62","GIN",354.51082654207,406.807462532289,473.042160608101
"63","GMB",180.17637967375,201.102626751903,223.133359291933
"64","GNB",1174.41111594955,1383.76074242556,1646.63097735188
"65","GNQ",984.453594726865,2016.75754901002,2486.03916974828
"66","GRC",16089.4730025311,17475.8247799004,18698.2954868174
"67","GRD",400.960793495064,552.026376370158,2565.45942944411
"68","GTM",1873.79018448616,2139.02105402428,2571.78361598721
"69","GUY",4363.64637777644,4906.98579594841,5263.79656678981
"70","HND",422.320026682115,545.655909466782,606.464894740315
"71","HRV",11906.0320350521,13880.7573303851,15217.1847288504
"72","HTI",154.230141040822,189.261042718197,227.530693287072
"73","HUN",7707.64237983361,9347.34797192208,12584.7597440803
"74","IDN",1294.66121882262,1562.24584024906,1796.45737489251
"75","IND",887.672057334905,1002.36515585837,1050.47487516991
"76","IRL",42968.7410463562,45584.4432862913,47424.080694341
"77","IRN",705.669459220903,806.906884348683,979.838547563531
"78","IRQ",550.270847028396,713.375442717897,876.290205041041
"79","ISL",37601.2715644164,58677.4836583196,73840.4994745389
"80","ISR",18523.5794399932,20522.1793872353,22685.9671159389
"81","ITA",24602.4047285967,26906.6539049269,29352.7181683126
"82","JAM",1011.32978731109,1257.99439756156,1476.11734486225
"83","JOR",1381.26524989012,1542.05532070853,1653.9332987713
"84","JPN",8229.35259007234,10382.9438552831,12683.0644330358
"85","KAZ",3052.37116647091,3349.62852098104,3736.59051491264
"86","KEN",705.180303526483,806.956007337683,888.452021657962
"87","KGZ",188.233866132159,265.316712710087,367.149339304247
"88","KHM",390.45167867297,412.200672898605,435.833583111281
"89","KOR",22440.5040124788,25732.7381430822,29218.5926713176
"90","KWT",7504.47108401275,8438.15502474078,9629.86070663683
"91","LAO",858.926526591895,908.695564481189,964.796210760008
"92","LBN",1946.92783868274,2301.86115737795,2636.38980969974
"93","LBR",72.0529476562128,81.5469078923124,92.7707500310077
"94","LBY",4329.84727124183,5029.90558418689,5767.9010657202
"95","LCA",4529.71001661025,5043.446288964,5765.77189739217
"96","LKA",1614.52412726703,1719.70541553464,1907.57872383891
"97","LSO",133.850542971672,156.683901415171,179.878806536018
"98","LTU",15911.8337368299,17481.0932214944,18119.7304325479
"99","LUX",46227.6227470237,54563.6587619539,74436.2108900943
"100","LVA",11892.7028344683,13893.128614287,14821.4423892546
"101","MAR",1080.74427043858,1260.18321125442,1466.83645897257
"102","MDA",2613.98895017169,2980.07694822606,3205.65425939182
"103","MDG",139.486648712204,178.457137239111,205.670031000925
"104","MDV",3079.05447897855,3408.97718703982,4061.80054118358
"105","MEX",2527.26698740776,2998.42658874341,3367.89147616121
"106","MKD",2980.56648740749,3558.17478665416,4127.99985910492
"107","MLI",280.957855795253,400.130040672743,485.780039350085
"108","MLT",18773.2355481739,21332.478013207,25188.8142955576
"109","MMR",292.946076707128,352.772097758489,420.959265619887
"110","MNE",4286.83709154383,5046.26922671542,6114.43353895808
"111","MNG",1189.90577601809,1276.42569134018,1383.69286003704
"112","MOZ",50.4199201364748,63.6093764474865,80.3341246166268
"113","MRT",499.512481575188,655.799593379752,783.893903158245
"114","MUS",3626.91685602292,4076.79656063583,4497.80161378032
"115","MWI",388.56282726157,416.023906118631,437.885093923026
"116","MYS",3805.20864043615,4359.087142173,5298.73232873049
"117","NAM",775.729243416544,1039.71439184484,1229.45600781349
"118","NER",328.380593196813,433.669754189872,665.117807756741
"119","NGA",1882.80514850265,2051.23360839377,2163.53826537883
"120","NIC",124.34200755554,149.903979268753,175.832107636486
"121","NLD",30225.2610468147,33881.7996348638,38689.8431875964
"122","NOR",46598.7198370648,51573.1515263405,55521.7747125376
"123","NPL",292.659885927917,331.357419936612,438.411787425088
"124","NZL",22149.5946750583,31919.8754455783,40459.3192474744
"125","OMN",1296.15216609805,1746.88085617678,3327.96001627965
"126","PAK",331.232634814031,384.840850881883,466.540182606218
"127","PAN",3824.20965289669,4797.75324882107,5985.66855975065
"128","PER",665.214407912605,927.566345984191,1262.524193094
"129","PHL",1250.79230299764,1522.56532489125,1916.91043993321
"130","PNG",626.300589046972,806.986797406375,1014.94851157353
