"","iso3c","vsly_undisc_averted_low","vsly_undisc_averted_med","vsly_undisc_averted_high","vsly_disc_averted_low","vsly_disc_averted_med","vsly_disc_averted_high"
"1","AFG",290443628.625976,312693404.832526,329681257.234151,435494775.146135,469850216.012994,495832858.298167
"2","AGO",1671477143.98528,1798156427.63066,1962760527.55583,2398195674.52979,2565369465.68716,2793368436.22009
"3","ALB",2341252212.40936,2853840592.98921,3167773038.40952,3357730816.37115,4092730894.26674,4553306741.26621
"4","ARE",53919191149.2536,59656675339.5149,70293646677.2995,65836317227.6362,72893113910.7548,85794191139.1744
"5","ARG",62980932815.8793,73340997332.2194,86042410398.0156,91226253008.6286,106643539309.246,125251676685.642
"6","ARM",995666523.038364,1130658229.28704,1225804097.74726,1468033502.23411,1666272355.99015,1799898415.65614
"7","ATG",342111535.6605,397639417.825484,632099594.364747,475767196.5593,552391419.56087,864905254.495117
"8","AUS",379348453145.574,478947866836.988,767010982858.882,511357507879.583,648757110617.845,1036406791978.98
"9","AUT",138455804632.521,147541339599.355,160927578485.849,192157066420.604,204006751272.102,222023671694.206
"10","AZE",10196402724.6164,11325826439.731,11917571215.0026,14292372110.0088,15903792349.9973,16691904893.7025
"11","BDI",361.386936596602,1505.25243842541,2552.00190221411,496.90633909331,2021.74089757186,3425.65489380596
"12","BEL",348187311119.143,548090608239.063,732954320148,491063628970.111,761448326106.065,1020846861792.85
"13","BEN",107187402.501525,126980055.175035,148350612.951907,160230787.494444,189291661.635765,221332743.890231
"14","BFA",61310169.8988954,69094549.8347064,85661234.1081563,90351078.4781368,102306540.397048,127373488.765748
"15","BGD",20990478654.446,24519790785.1134,30453295839.7214,30655469719.9897,35639748940.685,44145099889.862
"16","BGR",15778681434.993,18741803760.523,20401518413.6912,23150660591.9126,27624382740.0392,30136818852.3454
"17","BHR",4512887935.08947,5084033936.37377,6154151678.16273,5873323382.46518,6596840173.68608,8032378163.76187
"18","BHS",1714308541.65077,2022125861.17012,2224543529.03011,2388346726.73104,2815171497.60022,3090905560.11792
"19","BIH",2953663098.26466,3512511449.55371,3982336143.61972,4182111309.49098,4998446270.11753,5708387696.69675
"20","BLR",8966022243.33517,10395251810.7064,12580726018.7572,12718697519.0956,14750124109.707,17891197459.1105
"21","BLZ",361579880.309364,450160136.203989,498604816.334589,508012193.719132,633914878.36397,697633386.592414
"22","BOL",2921987207.06107,3350912923.97891,3651749999.24918,4268726140.91678,4899235437.98618,5378108539.32278
"23","BRA",427958837791.214,486197683365.416,518602421843.166,592912496609.042,675997026775.117,721000676756.182
"24","BRB",521837657.809618,774593300.581144,1065669362.9461,748527564.392091,1102641737.12762,1495310897.56312
