"","iso3c","discmonqalys_pp_gdppc_low","discmonqalys_pp_gdppc_med","discmonqalys_pp_gdppc_high"
"1","AFG",0.0282201096810745,0.0303738537151822,0.0320285069204056
"2","AGO",0.0579385665844056,0.062282126409451,0.0679655428535587
"3","ALB",0.0996220207100448,0.121208541640166,0.134560007884758
"4","ARE",0.043592987428781,0.0481221120501923,0.055965818651332
"5","ARG",0.0581454317171109,0.0677863113970254,0.0794851004044412
"6","ARM",0.100406200024117,0.113905805525449,0.123261594824994
"7","ATG",0.111288113711807,0.12899555077515,0.199696749673167
"8","AUS",0.108191365267097,0.134696386781698,0.212175286211264
"9","AUT",0.131524902406776,0.139437718367785,0.151656214202457
"10","AZE",0.115706952252401,0.128534794031105,0.135021296577161
"11","BDI",0.000235804378361964,0.000765035148108842,0.00135330397202284
"12","BEL",0.230683453064832,0.354621325584188,0.473558922581729
"13","BEN",0.018043053847126,0.0213935090567096,0.0251894074521031
"14","BFA",0.0292617442584638,0.0331416444658566,0.0415389218346362
"15","BGD",0.0368831701652131,0.0430317581178294,0.0532909474872327
"16","BGR",0.182654282506025,0.217714521357105,0.237484637985357
"17","BHR",0.0503370643065847,0.0564497829419026,0.0683177509233023
"18","BHS",0.132774511471154,0.156128309515062,0.171601935830423
"19","BIH",0.130680269307244,0.155972915870673,0.177724942113721
"20","BLR",0.10314912456499,0.119536333693971,0.144656279393934
"21","BLZ",0.0531463155134622,0.0660141483916221,0.0724550033140999
"22","BOL",0.0364377477754101,0.0418021001468614,0.0456665533804884
"23","BRA",0.10534363823455,0.119571948243832,0.127700331586823
"24","BRB",0.0666996195203115,0.0977758872121298,0.13179175314545
"25","BRN",0.0902653055375618,0.10499915734092,0.134734939082279
"26","BTN",0.0550250525412072,0.0590923430320033,0.0633522095037681
"27","BWA",0.0346936653237651,0.0450620359560556,0.052653661829569
"28","CAF",0.0188082821880174,0.0228195345538992,0.0263068914195318
"29","CAN",0.197669115292216,0.216586770993567,0.313329899038761
"30","CHE",0.113824609403293,0.143885733507834,0.213544314768579
"31","CHL",0.165561456913966,0.176374921380891,0.199137365904516
"32","CIV",0.0796959598348004,0.0899003626558525,0.0975393945809848
"33","CMR",0.0807439827471224,0.0970468000674652,0.111740169505821
"34","COD",0.0443775620104454,0.0509653378697201,0.0583772094522809
"35","COG",0.149369142419532,0.167329155125291,0.18798957095692
"36","COL",0.0604741966759981,0.072484782264234,0.0893835317513927
"37","COM",0.042064987858375,0.0491317774762587,0.0552560419172734
"38","CPV",0.0448810962440554,0.0512096146632237,0.0555669228821693
"39","CRI",0.0994483436068098,0.114826975409041,0.126471345220981
"40","CUB",NA,NA,NA
"41","CYP",0.115798636023276,0.148395714237302,0.17994440168025
"42","CZE",0.139592849127214,0.167381845445636,0.190208338435885
"43","DEU",0.213316459834704,0.229663429430697,0.250557238866373
"44","DJI",0.0616486118462542,0.0745703594388503,0.0844333535067912
"45","DNK",0.151107027252001,0.1652362966875,0.182527487206193
"46","DOM",0.0412417185030887,0.0514937860420461,0.0640328705831929
"47","DZA",0.025466620935845,0.0318725155165382,0.0418983770963882
"48","ECU",0.0524061728370326,0.0634530710548508,0.0811140572885907
"49","EGY",0.0514533602176105,0.0599962777487119,0.0679174587784145
"50","ERI",NA,NA,NA
"51","ESP",0.207613954631507,0.230595601911714,0.265302199311134
"52","EST",0.182981503470687,0.208796216059233,0.229337742308228
"53","ETH",0.106603759863135,0.128858581042937,0.144077557706278
"54","FIN",0.174891770500199,0.187878231361524,0.20252088550313
"55","FJI",0.0894306462103463,0.102774074343256,0.11984946507156
"56","FRA",0.211050683961913,0.251660612791183,0.32880656921609
"57","FSM",NA,NA,NA
"58","GAB",0.0956822673653872,0.111883085168117,0.124326762432308
"59","GBR",0.153482602544082,0.206117835043104,0.322545137135334
"60","GEO",0.155811756599654,0.167794009985379,0.193767095870765
"61","GHA",0.0768794151303386,0.0856267384939679,0.0948743927932178
"62","GIN",0.0441152035274378,0.0506491673491357,0.058736802206843
"63","GMB",0.0306064032842077,0.0341022351521908,0.0377496745062628
"64","GNB",0.185222494379811,0.218227128554082,0.261431917556464
"65","GNQ",0.0575451163096234,0.11073131770923,0.133571043303612
"66","GRC",0.223388549170289,0.243042835735863,0.260007087658182
"67","GRD",0.0131658589640313,0.0182501073319735,0.0811903174664745
"68","GTM",0.112789112252401,0.127750204004104,0.15106736365891
"69","GUY",0.12028627948379,0.13513024368925,0.144995354773869
"70","HND",0.0297550230429807,0.0381543705706848,0.0422728046553302
"71","HRV",0.186786163965874,0.217848881473474,0.239168239220725
"72","HTI",0.018354743796774,0.0224872434157331,0.0271610536597748
"73","HUN",0.122419950267869,0.146275014482027,0.194884519452805
"74","IDN",0.0500649311849156,0.0601467658333038,0.0689510232169823
"75","IND",0.0677444259826751,0.0764890171638346,0.0799422727860589
"76","IRL",0.176842362821166,0.18791058041986,0.195478349184257
"77","IRN",0.0340813996035603,0.0389664407160681,0.0470456223364374
"78","IRQ",0.0374887527557859,0.0477298197904121,0.0587864705536239
"79","ISL",0.184915092021263,0.288827252218437,0.363272343185206
"80","ISR",0.128291375315632,0.142133528091372,0.156133431818981
"81","ITA",0.186423451998376,0.204715905785964,0.223656460264503
"82","JAM",0.0563210941791608,0.0693020119651992,0.0808123816051867
"83","JOR",0.0982063129038353,0.109491563367778,0.11800359366333
"84","JPN",0.0516515272334905,0.0648042840320398,0.0789660557390477
"85","KAZ",0.0927750842589604,0.102128722554152,0.113666878660489
"86","KEN",0.0595359112751642,0.0680846370701147,0.0748319600531624
"87","KGZ",0.0268432195076007,0.0370075205160331,0.0504465207504847
"88","KHM",0.0413175352743981,0.043583922170427,0.0462310265898518
"89","KOR",0.184149232480588,0.211222191513834,0.240373575282841
"90","KWT",0.0672020687309287,0.0753460313350816,0.0867625702428361
"91","LAO",0.0572949094990874,0.0605605720959214,0.0642673276557876
"92","LBN",0.110743623173207,0.130388177245718,0.148628306175462
"93","LBR",0.0141884734016177,0.0162048337965844,0.0183594906365749
"94","LBY",0.157266219437335,0.181278828350631,0.207137668842889
"95","LCA",0.117260045062544,0.130202757230444,0.149035493918143
"96","LKA",0.0653950056495007,0.0697000136541238,0.0773458495881488
"97","LSO",0.0161471993769036,0.0187903458474555,0.0215277999357831
"98","LTU",0.198908560279714,0.218830906779553,0.226718189519461
"99","LUX",0.156391770475156,0.183766949678092,0.246537167685685
"100","LVA",0.157570395836768,0.184143321262818,0.197021315490745
"101","MAR",0.0486101163536743,0.0559370883227654,0.0642895660842173
"102","MDA",0.117269554854941,0.133950826214339,0.14478632185637
"103","MDG",0.0354173389090736,0.0450321856296978,0.0518142419646636
"104","MDV",0.093487231662641,0.103251340156636,0.120378621074225
"105","MEX",0.0710471938159465,0.0842896364563088,0.0945622157391581
"106","MKD",0.114518989813386,0.136534376622004,0.157726888050204
"107","MLI",0.0451421974593147,0.0631292164847967,0.076453599302286
"108","MLT",0.176313324231851,0.200523485999562,0.234303839607141
"109","MMR",0.0391913438753223,0.0467827220262228,0.0559421107025372
"110","MNE",0.112234931886895,0.132299619819016,0.160908575552485
"111","MNG",0.0496553398401426,0.0532031328565556,0.0576370125120098
"112","MOZ",0.0132082232201408,0.0166376680021879,0.0210607296033836
"113","MRT",0.0493493874968078,0.0646502428177216,0.076941351399259
"114","MUS",0.0858569848342871,0.0964691585729185,0.106678023082893
"115","MWI",0.0793159045615432,0.0848938011384475,0.0892612949109509
"116","MYS",0.0959138989299704,0.108353406189038,0.129412356476158
"117","NAM",0.0487686059353592,0.0651628608419801,0.0765046623890199
"118","NER",0.0744266773924993,0.0933228237391367,0.135615489923798
"119","NGA",0.161342465255002,0.175810500328819,0.185751302922895
"120","NIC",0.0112572151790947,0.0136043304945523,0.0159543678839733
"121","NLD",0.150969308390033,0.168321202958118,0.191981224971642
"122","NOR",0.170910115608862,0.189433835388294,0.204100497495261
"123","NPL",0.0411075972696883,0.0465049330868419,0.060866927172485
"124","NZL",0.145915793911413,0.208684784678296,0.263089279196969
"125","OMN",0.0245714963861355,0.0337909613534177,0.0645195572914286
"126","PAK",0.0394401228105822,0.0453860807647995,0.0550218933573428
"127","PAN",0.0768941450998961,0.0959406886238705,0.11885170628313
"128","PER",0.0309333769905032,0.0431494543705858,0.0580726789871962
"129","PHL",0.0591346403877505,0.0704924063392914,0.0863236970441915
"130","PNG",0.0442201968598338,0.0566014745877529,0.0709741491834686
"131","POL",0.132766798253699,0.146292561745896,0.157096617225587
"132","PRK",NA,NA,NA
"133","PRT",0.243710127928769,0.260377892080465,0.347271540474389
"134","PRY",0.0222885597882809,0.0274071883755088,0.0304708154326743
"135","QAT",0.0650703518947015,0.0885518306827692,0.112834824150822
"136","ROU",0.123022790850721,0.145135956659777,0.16332862936597
"137","RUS",0.158494825020547,0.170109187977686,0.182549700898774
"138","RWA",0.0223221643517488,0.025735158527763,0.0294417512807234
"139","SAU",0.0879017569191597,0.0982602038374931,0.111224585035312
"140","SDN",0.0354907003554488,0.047905438460352,0.0610613451830097
"141","SEN",0.0711996761851008,0.0814276363548898,0.0907318998861335
"142","SGP",0.357850429335838,0.42839476440386,0.447023592227502
"143","SLB",NA,NA,NA
"144","SLE",0.0262687032669108,0.0385077560290011,0.0467022000404054
"145","SLV",0.0441747123637651,0.0516913724786604,0.0548915676751814
"146","SOM",0.0239784600347975,0.0274647079437662,0.0309720221666846
"147","SRB",0.126101445969337,0.148838995841847,0.173202609266708
"148","SSD",NA,NA,NA
"149","STP",0.0663763708930168,0.0789108367631764,0.109854876472604
"150","SUR",0.115559955867916,0.132293186374299,0.140325628169861
"151","SVK",0.143026589426562,0.168686376628931,0.181825938786275
"152","SVN",0.159823877713453,0.178170261950704,0.199403409014843
"153","SWE",0.0997617947981894,0.112458329316775,0.129007982440637
"154","SWZ",0.0267245715066593,0.0321043788604064,0.0374786156161991
"155","SYC",0.081454217279399,0.104188809099759,0.137189894832752
"156","SYR",0.0199980002973048,0.0255755371397734,0.0319852629773872
"157","TCD",0.0426398487791095,0.058460975435164,0.0716673872747134
"158","TGO",0.0398866204582447,0.0430328199083257,0.0470531441032273
"159","THA",0.120376871451301,0.14798456926253,0.172429160530309
"160","TJK",0.0231563940747167,0.0329284799572289,0.041698516263843
"161","TKM",NA,NA,NA
"162","TLS",0.054738925377747,0.0597408114750053,0.0627593956994603
"163","TTO",0.123599031077092,0.146288328588198,0.177694902225925
"164","TUN",0.0454271077384996,0.0524810045675193,0.0589800200047157
"165","TUR",0.0964166733687022,0.112206772440452,0.123642865430949
"166","TZA",0.0374985969241873,0.0507537620535319,0.0607497925025499
"167","UGA",0.0896632305683043,0.101796114820572,0.11050341474527
"168","UKR",0.0677043564720476,0.0801987859093057,0.0914663484495483
"169","URY",0.206625836979447,0.278592464451578,0.342072406918871
"170","USA",0.156612126216931,0.171305845138341,0.186571290317039
"171","UZB",0.028156461137701,0.0389320346247174,0.0482185448473076
"172","VCT",0.064072263952797,0.0880975914420659,0.158728053139648
"173","VEN",NA,NA,NA
"174","VNM",0.0707533270653905,0.0858119570725517,0.104617422785193
"175","VUT",9.96154560407721e-05,0.000921044288923919,0.0409765133457769
"176","YEM",0.118349767101842,0.1376217536165,0.154605101568775
"177","ZAF",0.0755535026296933,0.092975796073862,0.111203770608731
"178","ZMB",0.0518383710099165,0.0603714152621534,0.0668879428103505
"179","ZWE",0.0344008062732486,0.0394312058143133,0.0445401034356755
